ïid,time_spending,reasons_using,d_information,d_communication,d_new_friend,d_share,d_study,d_entainterment,number_friends,group_membership,siu_ingroup,informational_use,siu_1,siu_2,siu_3,entertainment_use,oep_1,political_efficacy,oep_2,oep_3,oep_4_data,oep_4,ofep_1,ofep_2,ofep_3,ofep_4,gender,age,barth_place,education,job,income,rural_urban_1,location,rural_urban_2,fav_party,SIU,three_usage,OEP,OFEP,supportNLD,supportUSDP,supportEthnicParty,supportOthersParty
28,Between 1 Hour and 3 Hours,"2, 5, 6",0,1,0,0,1,1,between 300-1000 friends,"1, 2, 4",3,4,5,2,4,5,3,2,3,3,1,1,0,0,0,1,Female,29,10,5,4,5,5,10,1,1,0.73750001,0.84583336,0.51249999,0.25,1,0,0,0
29,More than 3 Hours,"1, 2",1,1,0,0,0,0,between 1000-3000 friends,"2, 3, 4",3,4,5,3,4,4,4,3,4,5,1,1,1,0,1,1,Female,23,8,4,1,1,3,8,1,1,0.78750002,0.79583335,0.71249998,0.75,1,0,0,0
30,Between 1 Hour and 3 Hours,"1, 6",1,0,0,0,0,1,between 1000-3000 friends,"1, 2, 3, 4",4,5,4,3,4,4,3,5,5,4,1,1,1,1,0,1,Female,23,10,4,1,3,1,13,2,1,0.80000001,0.86666667,0.66250002,0.75,1,0,0,0
31,More than 3 Hours,"1, 2, 4, 5, 6",1,1,0,1,1,1,between 3000-5000 friends,"1, 2, 3, 4",4,5,5,3,5,5,5,3,5,2,1,1,1,0,0,0,Male,37,8,4,4,3,1,13,1,1,0.89999998,0.96666664,0.66250002,0.25,1,0,0,0
32,Between 1 Hour and 3 Hours,6,0,0,0,0,0,1,between 300-1000 friends,"2, 3",2,4,5,1,3,5,4,2,3,4,1,1,1,0,0,0,Female,24,10,4,1,2,1,10,2,1,0.57499999,0.79166669,0.61250001,0.25,1,0,0,0
33,Between 1 Hour and 3 Hours,"1, 2, 3, 4, 5, 6",1,1,1,1,1,1,between 3000-5000 friends,"2, 3, 4",3,4,4,3,4,5,5,2,3,1,1,1,1,0,1,0,Female,25,11,4,5,2,4,11,3,1,0.73750001,0.84583336,0.51249999,0.5,1,0,0,0
34,More than 3 Hours,4,0,0,0,1,0,0,between 1000-3000 friends,"2, 3",2,3,3,1,3,3,3,2,2,3,1,1,0,0,0,0,Male,25,1,4,7,1,4,1,4,4,0.47499999,0.55833334,0.46250001,0,0,0,0,1
35,More than 3 Hours,5,0,0,0,0,1,0,between 3000-5000 friends,4,1,5,4,2,4,4,4,5,4,5,4,1,1,1,1,1,Male,53,10,4,7,4,3,10,1,1,0.5625,0.78750002,0.71249998,1,1,0,0,0
36,More than 3 Hours,"1, 2, 4, 5, 6",1,1,0,1,1,1,between 300-1000 friends,"3, 4",2,5,5,1,5,5,5,3,3,3,2,1,1,0,0,0,Male,21,9,3,1,1,1,10,1,1,0.67500001,0.89166665,0.61250001,0.25,1,0,0,0
37,Between 1 Hour and 3 Hours,"1, 2, 4, 5",1,1,0,1,1,0,between 1000-3000 friends,"1, 2, 3, 4",4,5,5,3,5,4,4,4,4,4,1,1,0,0,0,0,Female,35,8,6,5,2,1,13,1,1,0.89999998,0.89999998,0.66250002,0,1,0,0,0
38,More than 3 Hours,6,0,0,0,0,0,1,between 1000-3000 friends,"3, 4",2,1,3,3,3,5,5,1,3,1,1,1,0,0,0,0,Female,24,10,4,1,1,1,10,1,4,0.57499999,0.59166664,0.51249999,0,0,0,0,1
39,More than 3 Hours,"1, 2, 3, 4, 5, 6",1,1,1,1,1,1,between 3000-5000 friends,"1, 2, 3, 4",4,5,5,1,5,4,5,4,4,5,4,1,1,1,0,0,Female,24,1,5,1,2,1,8,1,1,0.80000001,0.86666667,0.76249999,0.5,1,0,0,0
40,More than 3 Hours,"1, 2, 5",1,1,0,0,1,0,between 1000-3000 friends,"1, 2, 3",3,4,4,1,4,3,1,1,1,1,1,1,0,0,0,0,Male,37,14,3,4,3,1,13,1,4,0.63749999,0.67916667,0.21250001,0,0,0,0,1
41,Between 1 Hour and 3 Hours,"1, 5",1,0,0,0,1,0,under 300 friends,"2, 4",2,3,4,3,4,3,2,1,3,1,2,1,0,0,0,0,Female,26,10,4,2,1,4,10,3,1,0.67500001,0.625,0.36250001,0,1,0,0,0
42,More than 3 Hours,"1, 5, 6",1,0,0,0,1,1,under 300 friends,"1, 2, 3, 4",4,5,2,2,5,4,5,3,5,1,1,1,1,0,0,0,Female,26,10,4,5,2,1,10,1,1,0.69999999,0.83333331,0.61250001,0.25,1,0,0,0
43,More than 3 Hours,"1, 2, 3, 4, 5, 6",1,1,1,1,1,1,between 1000-3000 friends,"1, 2, 3, 4",4,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,Female,36,4,5,7,2,1,13,1,1,1,1,0.8125,1,1,0,0,0
44,Less than 1 Hour,"1, 2, 4, 5",1,1,0,1,1,0,under 300 friends,3,1,5,5,1,5,5,5,5,5,5,1,1,1,0,1,1,Male,24,10,3,7,3,3,10,1,1,0.61250001,0.87083334,0.8125,0.75,1,0,0,0
45,More than 3 Hours,"1, 5, 6",1,0,0,0,1,1,under 300 friends,"2, 3",2,5,4,1,1,4,1,1,1,1,1,1,1,0,0,0,Male,17,5,3,1,1,3,5,2,4,0.42500001,0.74166667,0.21250001,0.25,0,0,0,1
46,Between 1 Hour and 3 Hours,"1, 2, 4, 5, 6",1,1,0,1,1,1,between 300-1000 friends,"1, 2, 3, 4",4,4,5,3,4,2,4,5,4,4,"1, 3",2,1,0,1,0,Male,19,8,3,1,1,4,8,3,4,0.85000002,0.68333334,0.72500002,0.5,0,0,0,1
47,More than 3 Hours,6,0,0,0,0,0,1,between 1000-3000 friends,"1, 2, 3, 4",4,4,2,1,5,5,1,2,3,3,1,1,1,1,1,0,Female,22,10,4,7,1,1,10,1,1,0.64999998,0.81666666,0.41249999,0.75,1,0,0,0
48,More than 3 Hours,"1, 2, 5",1,1,0,0,1,0,between 1000-3000 friends,"1, 2, 3, 4",4,5,5,3,4,4,5,1,2,3,1,1,1,0,0,1,Female,24,10,4,1,1,1,10,1,1,0.85000002,0.88333333,0.5625,0.5,1,0,0,0
49,More than 3 Hours,"1, 4, 6",1,0,0,1,0,1,between 300-1000 friends,"1, 2, 3, 4",4,4,4,2,4,5,4,1,4,1,1,1,0,0,0,0,Female,20,13,3,1,2,4,13,3,1,0.75,0.85000002,0.51249999,0,1,0,0,0
50,More than 3 Hours,"1, 2, 4, 5",1,1,0,1,1,0,between 300-1000 friends,"2, 3, 4",3,4,4,3,4,3,5,4,4,4,2,1,1,1,1,1,Male,19,10,4,1,1,1,13,1,4,0.73750001,0.71249998,0.71249998,1,0,0,0,1
51,Between 1 Hour and 3 Hours,1,1,0,0,0,0,0,under 300 friends,"1, 2, 3, 4",4,4,3,3,4,3,3,4,5,5,3,1,1,0,0,0,Male,23,10,0,4,3,1,10,1,1,0.75,0.71666664,0.71249998,0.25,1,0,0,0
52,More than 3 Hours,1,1,0,0,0,0,0,between 3000-5000 friends,2,1,5,4,4,5,4,4,4,4,4,1,1,0,1,0,1,Female,29,10,4,5,2,4,10,3,1,0.71249998,0.83749998,0.66250002,0.5,1,0,0,0
53,More than 3 Hours,"1, 2, 5",1,1,0,0,1,0,between 3000-5000 friends,"1, 2, 3, 4",4,4,4,3,4,5,3,3,3,3,2,1,0,0,0,0,Male,21,10,4,4,2,1,10,1,4,0.80000001,0.86666667,0.51249999,0,0,0,0,1
54,More than 3 Hours,"1, 2, 4, 5, 6",1,1,0,1,1,1,under 300 friends,"1, 2, 3, 4",4,3,5,1,4,5,3,1,2,1,1,1,1,0,0,0,Female,21,1,3,1,1,3,8,1,4,0.75,0.78333336,0.36250001,0.25,0,0,0,1
55,More than 3 Hours,2,0,1,0,0,0,0,between 1000-3000 friends,1,1,5,5,5,5,3,5,5,5,3,2,1,0,0,0,1,Female,27,10,4,5,2,3,10,3,1,0.8125,0.80416667,0.71249998,0.25,1,0,0,0
56,More than 3 Hours,"1, 2, 3, 4, 5",1,1,1,1,1,0,between 3000-5000 friends,"1, 2, 3, 4",4,5,5,5,5,4,4,4,5,5,1,1,1,1,1,1,Male,25,8,4,4,3,3,14,1,1,1,0.93333334,0.76249999,1,1,0,0,0
57,More than 3 Hours,"1, 2, 3, 4, 5, 6",1,1,1,1,1,1,between 1000-3000 friends,"2, 4",2,5,5,5,4,5,4,2,4,4,1,1,1,1,1,0,Male,23,10,4,1,1,3,10,2,1,0.82499999,0.94166666,0.66250002,0.75,1,0,0,0
58,More than 3 Hours,"1, 2, 5",1,1,0,0,1,0,between 300-1000 friends,"2, 3",2,3,5,3,3,3,3,2,3,3,2,1,1,0,0,1,Female,21,9,0,2,1,4,9,3,1,0.67500001,0.625,0.51249999,0.5,1,0,0,0
59,More than 3 Hours,"1, 2, 4, 5, 6",1,1,0,1,1,1,between 1000-3000 friends,"1, 2, 3, 4",4,5,5,2,5,4,4,4,5,5,"1, 3",2,1,1,0,0,Male,19,10,0,1,2,3,10,1,1,0.85000002,0.88333333,0.82499999,0.5,1,0,0,0
60,Between 1 Hour and 3 Hours,6,0,0,0,0,0,1,under 300 friends,"2, 4",2,5,1,1,2,1,1,2,1,1,2,1,0,0,0,0,Female,32,13,5,4,5,1,13,1,1,0.32499999,0.50833333,0.21250001,0,1,0,0,0
61,More than 3 Hours,"1, 2, 4, 5",1,1,0,1,1,0,between 1000-3000 friends,"1, 2, 3, 4",4,5,5,1,3,1,3,3,3,1,1,1,1,1,0,0,Male,27,10,4,3,2,1,10,1,4,0.69999999,0.63333333,0.41249999,0.5,0,0,0,1
62,More than 3 Hours,"1, 2, 3, 4, 5, 6",1,1,1,1,1,1,between 1000-3000 friends,"1, 2, 3, 4",4,4,4,4,4,4,4,4,4,1,1,1,1,0,0,0,Female,40,7,5,5,2,2,10,1,4,0.85000002,0.81666666,0.51249999,0.25,0,0,0,1
63,More than 3 Hours,"1, 2",1,1,0,0,0,0,between 300-1000 friends,"1, 2",2,4,5,5,5,5,4,3,5,3,1,1,1,0,0,0,Male,17,12,0,1,1,1,12,1,1,0.875,0.89166665,0.66250002,0.25,1,0,0,0
64,More than 3 Hours,6,0,0,0,0,0,1,between 3000-5000 friends,2,1,5,5,4,5,5,5,5,5,5,3,1,1,0,0,1,Female,29,10,4,5,2,4,10,3,1,0.76249999,0.92083335,0.8125,0.5,1,0,0,0
65,More than 3 Hours,"1, 2, 4, 5, 6",1,1,0,1,1,1,between 1000-3000 friends,"1, 2, 3, 4",4,5,4,3,5,3,5,5,5,5,"1, 2",2,1,0,0,1,Female,21,13,0,7,2,1,13,1,4,0.85000002,0.81666666,0.875,0.5,0,0,0,1
66,Between 1 Hour and 3 Hours,"1, 2",1,1,0,0,0,0,between 1000-3000 friends,"1, 2, 3, 4",4,5,4,4,5,1,1,4,4,4,1,1,1,0,0,0,Male,24,8,5,1,1,4,8,3,1,0.89999998,0.69999999,0.51249999,0.25,1,0,0,0
67,More than 3 Hours,"1, 2, 4, 5",1,1,0,1,1,0,under 300 friends,"1, 2, 3, 4",4,3,3,2,3,4,4,2,5,4,1,1,1,0,0,0,Female,35,13,4,5,2,2,13,1,4,0.64999998,0.68333334,0.71249998,0.25,0,0,0,1
68,More than 3 Hours,"1, 5",1,0,0,0,1,0,under 300 friends,3,1,5,4,1,5,1,1,5,5,3,2,1,1,0,0,1,Male,31,10,2,4,2,1,10,3,4,0.5625,0.58749998,0.51249999,0.5,0,0,0,1
69,More than 3 Hours,"1, 2, 4, 5, 6",1,1,0,1,1,1,between 3000-5000 friends,"1, 2, 3, 4",4,3,3,1,5,5,3,3,4,2,2,1,0,0,0,1,Female,21,10,0,1,1,3,10,1,1,0.69999999,0.76666665,0.51249999,0.25,1,0,0,0
70,Between 1 Hour and 3 Hours,"1, 2, 5",1,1,0,0,1,0,between 300-1000 friends,"1, 2",2,4,4,1,4,1,1,1,4,1,1,1,0,0,0,1,Female,52,11,6,5,2,1,10,1,1,0.57499999,0.52499998,0.36250001,0.25,1,0,0,0
71,More than 3 Hours,"1, 2, 4, 5",1,1,0,1,1,0,under 300 friends,"1, 2, 3, 4",4,5,5,4,3,5,5,3,4,5,1,1,1,0,0,0,Male,24,10,0,1,1,3,10,1,1,0.85000002,0.94999999,0.76249999,0.25,1,0,0,0
72,More than 3 Hours,2,0,1,0,0,0,0,between 1000-3000 friends,2,1,5,5,2,5,1,4,1,4,4,1,1,1,0,0,1,Female,28,10,5,5,2,3,10,4,2,0.66250002,0.62083334,0.66250002,0.5,0,1,0,0
73,More than 3 Hours,"1, 2, 5, 6",1,1,0,0,1,1,between 3000-5000 friends,"1, 2, 3, 4",4,4,5,2,4,4,1,4,3,4,1,1,1,0,0,0,Female,24,7,4,1,3,1,10,1,1,0.80000001,0.80000001,0.46250001,0.25,1,0,0,0
74,Between 1 Hour and 3 Hours,"1, 4, 6",1,0,0,1,0,1,between 300-1000 friends,3,1,3,4,2,4,4,1,4,4,4,2,1,0,0,0,0,Female,42,5,4,4,2,1,11,1,4,0.5625,0.65416664,0.51249999,0,0,0,0,1
75,Between 1 Hour and 3 Hours,3,0,0,1,0,0,0,between 1000-3000 friends,1,1,5,5,5,5,4,5,3,5,5,3,1,1,1,1,1,Male,25,7,3,7,3,1,7,1,1,0.8125,0.87083334,0.8125,1,1,0,0,0
76,Between 1 Hour and 3 Hours,"2, 4, 6",0,1,0,1,0,1,between 300-1000 friends,"1, 2, 3, 4",4,3,5,2,3,5,3,1,3,3,1,1,1,0,0,0,Female,38,10,6,5,5,2,10,1,1,0.75,0.78333336,0.51249999,0.25,1,0,0,0
77,More than 3 Hours,"2, 4",0,1,0,1,0,0,between 300-1000 friends,"2, 4",2,4,5,3,4,5,3,3,3,3,1,1,1,1,0,1,Female,21,8,4,1,1,1,10,1,1,0.72500002,0.8416667,0.51249999,0.75,1,0,0,0
78,Between 1 Hour and 3 Hours,6,0,0,0,0,0,1,between 1000-3000 friends,"1, 2, 3, 4",4,4,3,3,4,5,5,3,4,4,2,1,1,0,0,0,Female,24,8,4,4,2,1,10,1,1,0.75,0.85000002,0.71249998,0.25,1,0,0,0
79,More than 3 Hours,"2, 5",0,1,0,0,1,0,under 300 friends,"1, 2",2,3,4,1,1,2,1,1,3,1,1,1,0,0,0,1,Female,19,13,4,1,1,1,13,1,1,0.42500001,0.47499999,0.3125,0.25,1,0,0,0
80,Between 1 Hour and 3 Hours,5,0,0,0,0,1,0,between 300-1000 friends,3,1,4,4,1,5,1,2,2,5,5,3,1,1,1,1,1,Male,22,7,4,7,3,3,1,2,3,0.5625,0.52083331,0.66250002,1,0,0,1,0
81,More than 3 Hours,"1, 2, 3, 4, 5, 6",1,1,1,1,1,1,under 300 friends,"2, 3",2,3,2,2,2,4,4,1,3,3,2,1,0,0,0,0,Female,18,10,0,1,1,3,10,1,1,0.42500001,0.60833335,0.5625,0,1,0,0,0
82,More than 3 Hours,"1, 2, 4, 5, 6",1,1,0,1,1,1,between 300-1000 friends,"1, 2, 3, 4",4,5,5,4,5,5,5,5,4,4,1,1,1,1,0,0,Female,32,9,4,4,2,1,10,1,1,0.94999999,0.98333335,0.71249998,0.5,1,0,0,0
83,Between 1 Hour and 3 Hours,"1, 2, 4, 5",1,1,0,1,1,0,between 1000-3000 friends,2,1,5,4,1,5,1,4,5,5,5,2,1,1,0,0,1,Female,28,7,5,5,2,4,7,4,1,0.5625,0.58749998,0.76249999,0.5,1,0,0,0
84,Between 1 Hour and 3 Hours,"1, 2, 3, 5",1,1,1,0,1,0,between 3000-5000 friends,"2, 4",2,4,4,4,5,1,4,4,4,5,"1, 3",2,1,0,0,0,Male,33,10,4,5,2,4,10,3,1,0.77499998,0.59166664,0.77499998,0.25,1,0,0,0
85,Between 1 Hour and 3 Hours,6,0,0,0,0,0,1,between 300-1000 friends,"1, 2, 3",3,1,2,2,1,5,3,1,1,1,2,1,0,0,0,0,Female,24,9,4,4,3,3,10,1,4,0.4375,0.54583335,0.3125,0,0,0,0,1
86,More than 3 Hours,"1, 2, 5, 6",1,1,0,0,1,1,between 300-1000 friends,"1, 2, 3, 4",4,5,5,4,4,4,3,2,4,2,1,1,1,0,0,1,Male,21,9,3,1,1,1,10,1,1,0.89999998,0.89999998,0.51249999,0.5,1,0,0,0
87,More than 3 Hours,"1, 2, 3, 4, 5, 6",1,1,1,1,1,1,between 1000-3000 friends,"1, 2, 3, 4",4,4,5,4,5,5,5,5,5,5,1,1,0,0,0,0,Female,22,9,4,1,2,1,10,1,1,0.94999999,0.91666669,0.8125,0,1,0,0,0
88,Between 1 Hour and 3 Hours,"1, 2, 4, 6",1,1,0,1,0,1,between 1000-3000 friends,"1, 2, 3, 4",4,3,4,2,5,4,4,3,3,1,2,1,1,0,0,0,Female,24,5,4,1,1,3,5,2,1,0.80000001,0.73333335,0.46250001,0.25,1,0,0,0
89,Between 1 Hour and 3 Hours,6,0,0,0,0,0,1,between 1000-3000 friends,"1, 2",2,4,4,3,5,5,2,1,5,3,"1, 2",2,1,0,0,0,Female,21,13,4,1,2,1,13,1,4,0.72500002,0.8416667,0.625,0.25,0,0,0,1
90,Between 1 Hour and 3 Hours,"1, 2, 5",1,1,0,0,1,0,between 3000-5000 friends,"1, 2, 3, 4",4,5,5,5,5,4,4,3,3,4,1,1,1,0,1,1,Male,25,8,4,7,3,3,8,1,1,1,0.93333334,0.61250001,0.75,1,0,0,0
91,More than 3 Hours,"1, 2, 5",1,1,0,0,1,0,between 1000-3000 friends,"1, 2, 3",3,4,5,3,4,3,3,4,4,3,2,1,1,0,0,0,Female,37,9,5,5,2,3,8,1,1,0.78750002,0.72916669,0.5625,0.25,1,0,0,0
92,More than 3 Hours,"1, 2, 4, 6",1,1,0,1,0,1,between 300-1000 friends,"2, 3, 4",3,4,5,1,4,5,5,3,3,3,1,1,0,0,0,0,Female,23,1,4,1,1,3,1,1,1,0.6875,0.82916665,0.61250001,0,1,0,0,0
93,More than 3 Hours,6,0,0,0,0,0,1,between 1000-3000 friends,"2, 3, 4",3,3,4,4,5,5,4,4,5,5,1,1,0,0,0,1,Female,25,1,4,4,2,1,10,1,1,0.83749998,0.8125,0.76249999,0.25,1,0,0,0
94,More than 3 Hours,4,0,0,0,1,0,0,between 1000-3000 friends,2,1,4,3,2,4,5,1,2,4,2,1,1,0,0,0,0,Female,24,10,5,1,2,1,10,1,1,0.51249999,0.77083331,0.41249999,0,1,0,0,0
95,More than 3 Hours,"1, 2, 4, 5, 6",1,1,0,1,1,1,between 300-1000 friends,"1, 2, 3, 4",4,5,4,2,4,4,2,4,4,4,1,1,1,0,0,1,Male,27,10,4,7,2,1,10,1,1,0.75,0.85000002,0.5625,0.5,1,0,0,0
96,More than 3 Hours,"1, 2, 5",1,1,0,0,1,0,between 1000-3000 friends,"1, 2, 3, 4",4,4,4,3,4,4,4,3,4,1,2,1,0,0,0,1,Female,26,10,1,5,2,4,10,3,1,0.80000001,0.80000001,0.51249999,0.25,1,0,0,0
97,Between 1 Hour and 3 Hours,"1, 5, 6",1,0,0,0,1,1,between 1000-3000 friends,"1, 2, 3, 4",4,4,4,1,4,5,4,1,3,1,1,1,0,0,0,0,Female,26,8,5,5,2,3,8,1,1,0.69999999,0.83333331,0.46250001,0,1,0,0,0
98,More than 3 Hours,"2, 3, 6",0,1,1,0,0,1,between 3000-5000 friends,"2, 3",2,2,4,4,4,5,3,2,3,2,2,1,1,0,0,1,Male,21,10,4,1,1,4,10,3,1,0.72500002,0.70833331,0.46250001,0.5,1,0,0,0
99,More than 3 Hours,"2, 6",0,1,0,0,0,1,under 300 friends,"1, 2, 3",3,4,4,2,3,2,2,2,2,2,2,1,0,0,0,0,Female,25,7,5,5,2,3,7,2,1,0.63749999,0.61250001,0.36250001,0,1,0,0,0
